name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York,ny",1/15/2020,50.3,42.3,46,50.3,38.4,43.3,34.4,66.4,0,0,0,,0,0,20.9,11.8,285.8,1020.3,36.9,8.6,109.1,9.4,5,,2020-01-15T07:18:12,2020-01-15T16:52:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/16/2020,48.4,35.1,43.2,43.1,25.1,36.7,31,64,0.107,100,29.17,rain,0,0,41,20.2,286.5,1014.5,57.5,8.1,71.5,6.2,3,,2020-01-16T07:17:47,2020-01-16T16:53:54,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/17/2020,34.1,21.8,26.6,23.3,6.5,15.1,2.7,36.3,0,0,0,,0,0,38.6,23,313.3,1034.1,20.7,9.8,121.4,10.5,5,,2020-01-17T07:17:20,2020-01-17T16:55:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/18/2020,36.9,20.2,26,29.9,9.7,20,12.9,60.4,0.31,100,41.67,"rain,snow",0.5,0.2,25.3,15.3,229.3,1027.8,72.1,7.3,32.3,2.6,2,,2020-01-18T07:16:51,2020-01-18T16:56:11,0.78,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/19/2020,42.5,31.1,37.9,36.2,20.1,30.5,25.2,62.2,0,0,0,rain,0.3,0.7,29.9,16.5,277.4,1008.2,53.2,9.6,101.6,8.9,5,,2020-01-19T07:16:19,2020-01-19T16:57:21,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/20/2020,31.2,20.4,25.6,22.8,8.7,15.1,3.6,40,0,0,0,snow,0.1,0.1,32,16.1,318.1,1023.6,7.1,9.9,126.5,10.9,5,,2020-01-20T07:15:46,2020-01-20T16:58:31,0.85,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/21/2020,32.5,20.2,26,28.3,8.3,19.1,7,45.2,0,0,0,,0,0.5,19.7,13.7,326.1,1030.3,12.6,9.9,113.7,9.9,5,,2020-01-21T07:15:10,2020-01-21T16:59:42,0.89,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/22/2020,38.8,25.8,31.6,37.1,18.3,28.4,14.6,49.4,0,0,0,,0,0.6,9.4,6.9,303.8,1030.6,12.1,9.9,121.5,10.5,5,,2020-01-22T07:14:33,2020-01-22T17:00:54,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/23/2020,46.1,31.7,39.2,46.1,27.5,37.1,18.1,43.8,0,0,0,,0,0.4,10.5,8.1,226.1,1028.7,31.9,9.9,90.1,7.8,4,,2020-01-23T07:13:53,2020-01-23T17:02:06,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/24/2020,49.3,36.2,42.5,45.5,31.2,39.2,24.4,50.2,0,0,0,,0,0.3,13.6,10.3,56.7,1027.1,24.5,9.4,110.7,9.6,5,,2020-01-24T07:13:11,2020-01-24T17:03:18,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/25/2020,50.6,38.2,43,50.6,29.2,36.6,39.4,87.2,0.839,100,29.17,rain,0,0.2,36.6,25.1,70.8,1014.4,88.5,7.3,11,1,1,,2020-01-25T07:12:28,2020-01-25T17:04:31,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/26/2020,45.9,38.2,41.6,40.2,31,35.1,30.2,65,0,0,0,,0,0,26.4,16.9,260.3,1008.7,46.6,9.9,98.7,8.5,5,,2020-01-26T07:11:42,2020-01-26T17:05:44,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/27/2020,45,37.1,40.5,38.7,28.7,33.4,27.4,59.4,0,0,0,,0,0,25.3,16.3,267.9,1005.9,75.4,9.9,46.8,4.1,2,,2020-01-27T07:10:55,2020-01-27T17:06:58,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/28/2020,42.3,37.8,39.3,36,30.2,32.3,24.5,55.2,0,0,0,,0,0,26.4,15.1,306.2,1009.6,89,9.9,68.8,6.1,3,,2020-01-28T07:10:05,2020-01-28T17:08:11,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/29/2020,40,31.5,35.8,35.4,22.5,28.9,16.2,44.7,0,0,0,,0,0,29.8,14.2,343.1,1017.7,46.2,9.9,134.4,11.6,6,,2020-01-29T07:09:14,2020-01-29T17:09:25,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/30/2020,36.7,25.2,31.1,36.7,16.4,25.9,16.1,54,0,0,0,,0,0,19.7,9.9,27.5,1025.8,23.6,9.9,119.8,10.5,5,,2020-01-30T07:08:21,2020-01-30T17:10:39,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/31/2020,42.3,33.4,38.2,41.7,28.7,35.1,29.6,71,0.017,100,8.33,rain,0,0,8.9,6.5,60.7,1025.5,87.4,9.8,42.4,3.6,2,,2020-01-31T07:07:26,2020-01-31T17:11:53,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/1/2020,42.3,36.9,40.3,42.3,33.9,38.7,35.1,81.8,0.003,100,4.17,rain,0,0,7.6,5.6,20.7,1012.7,89.9,7,27.8,2.6,1,,2020-02-01T07:06:30,2020-02-01T17:13:08,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/2/2020,43.8,35.2,38.6,40.3,29.9,34.6,31.1,75.4,0.067,100,37.5,"rain,snow",0,0,26.4,13.5,264.3,1001.6,73.9,8.3,69.3,6,4,,2020-02-02T07:05:32,2020-02-02T17:14:22,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/3/2020,56.2,36.9,47.3,56.2,31.5,44.9,33.6,61.1,0.007,100,4.17,rain,0,0,19.7,11,251.8,1008.4,49.7,9.6,120.2,10.3,5,,2020-02-03T07:04:32,2020-02-03T17:15:36,0.32,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/4/2020,59.1,42.6,50.1,59.1,37.8,49.3,41.2,71.9,0.003,100,4.17,rain,0,0,16.3,9,340.9,1008.9,60.4,9.8,43.3,3.9,2,,2020-02-04T07:03:30,2020-02-04T17:16:51,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/5/2020,54.3,39.8,42,54.3,32.6,37.5,27.8,58.7,0.003,100,4.17,rain,0,0,21.9,13.1,21.8,1015.2,88.9,9.7,33.8,3,1,,2020-02-05T07:02:27,2020-02-05T17:18:05,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/6/2020,40.7,35.2,38.8,35.9,30.5,33.3,36.3,91,0.49,100,54.17,"rain,snow",0,0,18.3,13.3,54.3,1003.4,99.4,3.9,14.8,1.3,1,,2020-02-06T07:01:22,2020-02-06T17:19:19,0.42,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/7/2020,55.5,33.5,40.3,55.5,21.9,34.1,33.4,78.4,0.303,100,58.33,rain,0,0,42.7,25.2,286.4,990,91.4,5.8,34,3,2,,2020-02-07T07:00:16,2020-02-07T17:20:34,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/8/2020,39.6,29.9,35,37.6,19.8,27.9,16.4,46.4,0,0,0,,0,0,31.4,15.3,275.5,1019.9,33.2,9.9,103.7,9,4,,2020-02-08T06:59:08,2020-02-08T17:21:48,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/9/2020,42,30.7,36.5,39.8,22,31.3,27.7,70.3,0,0,0,"rain,snow",19.3,10.8,15.2,10.4,49,1031.1,68.4,9.9,118.4,10.1,5,,2020-02-09T06:57:59,2020-02-09T17:23:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/10/2020,46.8,42,44,42.5,36.6,39.5,36.7,76.2,0.369,100,54.17,rain,0,37.6,25.3,13.2,215,1021.6,86.5,8.1,21.7,2,1,,2020-02-10T06:56:48,2020-02-10T17:24:15,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/11/2020,47.9,43.6,45.2,46.3,38.4,43.1,41.9,88.7,0.278,100,45.83,rain,0,3.2,23,11.2,344.3,1013.4,90.1,5.4,26.3,2.1,1,,2020-02-11T06:55:36,2020-02-11T17:25:29,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/12/2020,45.9,38.9,41.9,42.8,31.7,37.1,24.1,49.8,0.016,100,8.33,rain,0,0,32.2,14.8,286.8,1019.7,53.2,9.8,116.3,9.9,5,,2020-02-12T06:54:22,2020-02-12T17:26:42,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/13/2020,43.2,36.6,39.9,41.7,32.9,36.9,35.9,86,0.495,100,50,rain,0,0,34.4,13,303.7,1007.1,84,5.5,14.3,1.1,1,,2020-02-13T06:53:07,2020-02-13T17:27:56,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/14/2020,39.8,19.3,30.6,33.8,7.5,21.5,10.2,43.6,0,0,0,,0,0,31,16.3,312.4,1024.2,15.9,9.9,166.6,14.5,6,,2020-02-14T06:51:51,2020-02-14T17:29:08,0.69,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/15/2020,29.9,14.8,22.9,24.5,5,15.2,5.5,47,0,0,0,,0,0,21.9,10.5,226.5,1034.3,14.2,9.9,153,13.2,6,,2020-02-15T06:50:34,2020-02-15T17:30:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/16/2020,43.4,28.9,36.6,43.3,19,31.7,23.1,58.5,0,0,0,,0,0,20.8,12.2,240.3,1021.8,52.1,9.9,75.4,6.5,3,,2020-02-16T06:49:15,2020-02-16T17:31:34,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/17/2020,50.4,38.1,44,50.4,32.8,41.4,23.2,45.3,0,0,0,,0,0,20.8,12,354.1,1023.6,33.3,9.9,160.9,13.8,6,,2020-02-17T06:47:55,2020-02-17T17:32:46,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/18/2020,46.5,38,41.7,42.7,30.9,37,33.4,73.3,0,0,0,,0,0,20.8,12.4,63.8,1022.5,85.2,7.7,34.2,2.9,1,,2020-02-18T06:46:35,2020-02-18T17:33:58,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/19/2020,47.7,34.1,42.9,43.7,28.5,37.4,21.6,45.3,0,0,0,,0,0,29.8,16.9,309.1,1022.4,38.3,9.6,175.8,15.2,7,,2020-02-19T06:45:13,2020-02-19T17:35:09,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/20/2020,38,27.4,32.1,33.5,18.1,24.8,10.3,40.3,0,0,0,,0,0,25.3,16.8,313.2,1030.1,30.6,9.9,99.2,8.5,4,,2020-02-20T06:43:49,2020-02-20T17:36:21,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/21/2020,35.3,20.4,28.4,30.9,9.2,20.6,3.3,35.7,0,0,0,,0,0,31.1,17,329.4,1030.8,5.3,9.9,178,15.1,7,,2020-02-21T06:42:25,2020-02-21T17:37:32,0.93,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/22/2020,50,29.5,39.5,45.7,22.3,34,6.4,26.4,0,0,0,,0,0,24.2,12.7,248,1023.8,4.4,9.9,181,15.7,7,,2020-02-22T06:41:00,2020-02-22T17:38:42,0.97,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/23/2020,56,37.4,46.7,56,34.7,44.9,11.2,23.9,0,0,0,,0,0,21.9,12.9,231.6,1021.1,10.3,9.9,183.8,16,7,,2020-02-23T06:39:34,2020-02-23T17:39:53,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/24/2020,60.8,40.4,49.4,60.8,40.4,48.6,25.6,42.5,0,0,0,,0,0,11.2,11.4,196.1,1016.3,40.3,9.8,172,15,7,,2020-02-24T06:38:07,2020-02-24T17:41:03,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/25/2020,51.5,45.8,48.5,51.5,42.1,46.9,41.1,76.3,0.144,100,45.83,rain,0,0,13.2,8.3,162.6,1011.6,85.9,7.1,45.6,4.1,2,,2020-02-25T06:36:39,2020-02-25T17:42:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/26/2020,47.1,45,46,45.8,39,42.4,43.4,90.7,0.005,100,12.5,rain,0,0,22.2,12.4,68.1,1011.7,97.5,5.2,25.3,2.3,1,,2020-02-26T06:35:10,2020-02-26T17:43:22,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/27/2020,43.5,32.1,39.6,39.7,21.2,31.1,24.6,59,0.38,100,29.17,rain,0,0,43.7,23.2,272,1000.8,75.3,8.3,161.8,14,6,,2020-02-27T06:33:41,2020-02-27T17:44:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/28/2020,41.3,29.2,34.8,34,18,25.7,9.5,35.3,0,0,0,,0,0,33.9,20.8,257.2,1009.9,46.6,9.9,161.6,14.1,7,,2020-02-28T06:32:10,2020-02-28T17:45:40,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",2/29/2020,34.5,27,30.9,26.6,15.1,21.6,7.9,37.6,0,0,0,,0,0,29.3,16,285.9,1012.2,39.3,9.9,139.8,12.2,6,,2020-02-29T06:30:39,2020-02-29T17:46:49,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/1/2020,43.5,25.3,34.5,40.9,14,27.8,12.4,40.9,0,0,0,,0,0,25.9,14.5,293.7,1019.8,13.5,9.9,204.6,17.7,8,,2020-03-01T06:29:07,2020-03-01T17:47:57,0.23,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/2/2020,57.2,38.9,48.8,57.2,35.4,47.1,28.8,46.7,0,0,0,,0,0,29.8,12,190.1,1014.3,36.3,9.9,181.6,15.9,7,,2020-03-02T06:27:35,2020-03-02T17:49:05,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/3/2020,58.4,49.3,53.2,58.4,46.2,52.8,44.5,73.4,0.246,100,33.33,rain,0,0,33.9,12.5,209.1,1004.1,58.8,8.4,90.6,7.6,5,,2020-03-03T06:26:01,2020-03-03T17:50:13,0.3,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/4/2020,55.7,46.1,50.5,55.7,39.3,48.2,29,45.2,0.011,100,8.33,rain,0,0,38.3,25.3,271.5,1006.7,26.9,9.9,204.9,17.8,7,,2020-03-04T06:24:28,2020-03-04T17:51:20,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/5/2020,51.5,39.3,44.8,51.5,32.5,41,25.7,48.6,0,0,0,,0,0,31.1,15,294.4,1018.2,21.8,9.9,200,17.2,7,,2020-03-05T06:22:53,2020-03-05T17:52:27,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/6/2020,44.6,37.5,41.2,41.4,30.8,35.8,34.5,77.2,0.321,100,37.5,rain,0,0,23.2,14.3,44.3,1012.4,61,8.8,47.5,4,2,,2020-03-06T06:21:18,2020-03-06T17:53:34,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/7/2020,47.7,36.4,41,43.3,27.9,34.6,16.8,44.2,0.001,100,4.17,rain,0,0,31.8,21.2,338.9,1021.4,28.7,9.9,210.4,18.1,8,,2020-03-07T06:19:43,2020-03-07T17:54:41,0.43,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/8/2020,59.2,35.6,46.5,59.2,29.8,43.9,15.2,29.4,0,0,0,,0,0,23,12.7,255.9,1029.3,25.8,9.9,190.9,15.7,7,,2020-03-08T07:18:07,2020-03-08T18:55:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/9/2020,71.6,45.9,58.3,71.6,42,56.9,22.8,26.7,0,0,0,,0,0,27.7,14.8,229.6,1026.3,19.5,9.9,216.2,18.8,8,,2020-03-09T07:16:30,2020-03-09T18:56:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/10/2020,65.4,54.2,60.6,65.4,54.2,60.6,40.2,47.4,0,0,0,,0,0,31.1,14.3,231.7,1017.8,57.6,9.9,82.9,7.1,4,,2020-03-10T07:14:53,2020-03-10T18:57:59,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",3/11/2020,59.8,43.5,51.1,59.8,38.6,50,29.7,45.2,0,0,0,,0,0,30.9,14.2,336,1018.3,40.3,9.9,161.6,14,6,,2020-03-11T07:13:16,2020-03-11T18:59:05,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
